text number,sentence,mpnet_q2,manual,,comparison,comment,,mpnet_all_pos,comparison,,,,
3,The basic dilema facing the UK's rail and road transport system is the general rise in population.,1,1,,TRUE,,,1,TRUE,,,,
3,"This leads to an increase in the number of commuters and transport users every year, consequently putting pressure on the UKs transports network.",1,1,,TRUE,,,1,TRUE,,,,
3, The biggest worry to the system is the rapid rise of car users outside the major cities.,1,1,,TRUE,,,1,TRUE,,,,
3, Most large cities have managed to incourage commuters to use public transport thus decreasing major conjestion in Rush hour periods.,1,1,,TRUE,,,1,TRUE,,,,215
3," Public transport is the obvious solution to to the increase in population if it is made cheep to commuters, clean, easy and efficient then it could take the strain of the overloaded British roads.",1,1,,TRUE,,,1,TRUE,,,,
3," For commuters who regularly travel long distances rail transport should be made more appealing, more comfortable and cheaper.",1,1,,TRUE,,,1,TRUE,,,,
3," Motorways and other transport links are constantly being extended, widened and slowly turning the country into a concrete jungle yet it is only trying to cope with the increase in traffic, we are our own enemy!",1,0,,FALSE,,,0,TRUE,,,,
3," Another major problem created by the mass of vehicle transport is the pollution emitted into the atmosphere damaging the ozone layer, creating smog and forming acid rain.",1,0,,FALSE,,,0,TRUE,,,,
3, Tourturing the Earth we are living on.,0,0,,TRUE,,,0,TRUE,,,,
3," In concluding I wish to propose clean, efficient comfortable and cheap public transport for the near future.",0,0,,TRUE,,,0,TRUE,,,,
59,The idea that <*> seems at first to be in harmony with our perceived values of equality in American society.,1,1,,TRUE,,,1,TRUE,,,,
59,"Although it is likely that most Americans, if asked, would profess to the belief that equal work deserves equal pay, equality of work as defined by specific task, physical difficulty, or cognitive difficulty, is not the real issue.",1,1,,TRUE,,,1,TRUE,,,,
59,"The real issue, in a discussion of relative contribution to society, involves our deeper cultural assumptions about values of various societal functions, including non-productive (in financial terms) work.",1,1,,TRUE,,,1,TRUE,,,,
59,Child care work makes a good example for this point.,1,0,,FALSE,"длина предложения: в коротком предложении одного показателя достаточно для факта когерентности? чем меньше слов в предложении, тем больше значимость каждого из них, и наоборот",,1,FALSE,,,,
59," Americans profess to value children, spending time, money and thought on such concerns as education and child safety laws.",1,1,,TRUE,,,1,TRUE,,,,
